key_id;name;birth_date;death_date;start_of_reign_date;end_of_reign_date
1;hardeknud;;925;;
2;gorm_den_gamle;;958;936;958
3;harald_blaatand;932;985;958;985
4;svend_tveskaeg;963;1014;986;1014
5;harald_den_anden;;1018;1014;1018
6;knud_den_store;995;1035;1019;1035
7;knud_den_tredje;1018;1042;1035;1042
8;magnus_den_gode;1024;1047;1042;1047
9;svend_estridsen;1019;1076;1047;1076
10;harald_hen;1041;1080;1076;1080
11;knud_den_hellige;1043;1086;1080;1086
12;oluf_hunger;1050;1095;1086;1095
13;erik_ejegod;1055;1103;1095;1103
14;niels;1064;1134;1104;1134
15;harald_kesja;1080;1135;1134;1134
16;erik_emune;;1137;1134;1137
17;erik_lam;;1146;1137;1146
18;valdemar_den_store;1131;1182;1154;1182
19;knud_den_femte;1129;1157;1146;1157
20;svend_grathe;1125;1157;1146;1157
21;knud_valdemarsoen;1163;1202;1182;1202
22;valdemar_sejr;1170;1241;1202;1241
23;erik_plovpenning;1216;1250;1241;1250
24;abel;1218;1252;1250;1252
25;christoffer_den_foerste;1219;1259;1252;1259
26;erik_klipping;1249;1286;1259;1286
27;erik_menved;1274;1319;1286;1319
28;christoffer_den_anden;1276;1332;1320;1326
28;christoffer_den_anden;1276;1332;1329;1332
29;valdemar_den_tredje;1314;1364;1326;1329
30;valtemar_atterdag;1320;1375;1340;1375
31;oluf_den_anden;1370;1387;1376;1387
32;margrete_den_foerste;1353;1412;1387;1412
33;erik_af_pommeren;1382;1459;1396;1439
34;christoffer_af_bayern;1416;1448;1440;1448
35;christian_den_foerste;1426;1481;1448;1481
36;hans;1455;1513;1481;1513
37;christian_den_anden;1481;1559;1513;1523
38;frederik_den_foerste;1471;1533;1523;1533
39;christian_den_tredje;1503;1559;1534;1559
40;frederik_den_anden;1534;1588;1559;1588
41;christian_den_fjerde;1577;1648;1588;1648
42;frederik_den_tredje;1609;1670;1648;1670
43;christian_den_femte;1646;1699;1670;1699
44;frederik_den_fjerde;1671;1730;1699;1730
45;christian_den_sjette;1699;1746;1730;1746
46;frederik_den_femte;1723;1766;1746;1766
47;christian_den_syvende;1749;1808;1766;1808
48;frederik_den_sjette;1768;1839;1808;1839
49;christian_den_ottende;1786;1848;1839;1848
50;frederik_den_syvende;1808;1863;1848;1863
51;christian_den_niende;1818;1906;1863;1906
52;frederik_den_ottende;1843;1912;1906;1912
53;christian_den_tiende;1890;1947;1912;1947
54;frederik_den_niende;1899;1972;1947;1972
55;margrethe_den_anden;1940;1972;1972;2024
56;frederik_den_tiende;1968;;2024;
